"Period","Predicted_Quality","Lower_Bound","Upper_Bound"
"2024-12",5.65113530658375,4.13828953728167,7.16398107588582
"2025-01",5.6015305228448,4.0865913907877,7.11646965490189
"2025-02",5.62378878799152,4.09805671129857,7.14952086468447
"2025-03",5.62702833105618,4.09418708820151,7.15986957391086
"2025-04",5.6333020953473,4.09555603502405,7.17104815567054
"2025-05",5.63790729865214,4.09661022093595,7.17920437636832
"2025-06",5.64128770896002,4.09729265478092,7.18528276313912
"2025-07",5.64376907038822,4.09762701124515,7.18991112953129
"2025-08",5.6455904926348,4.09766559975345,7.19351538551615
"2025-09",5.64162015556059,4.09215817640623,7.19108213471494
"2025-10",5.64790890525152,4.09707868958037,7.19873912092267
"2025-11",5.64332196661836,4.09124130861693,7.19540262461979
"2025-12",5.64730656283215,4.09372674788737,7.20088637777694
"2026-01",5.64743145614612,4.0927280503917,7.20213486190054
"2026-02",5.64783451570316,4.09203042222381,7.2036386091825
"2026-03",5.6480608576209,4.0911942450162,7.20492747022561
"2026-04",5.64824767832984,4.09034628788129,7.2061490687784
"2026-05",5.64838481248189,4.08946892801321,7.20730069695058
"2026-06",5.64848547463956,4.08857001244185,7.20840093683726
"2026-07",5.64855936484002,4.08765535905768,7.20946337062237
"2026-08",5.64861360331307,4.08672926989576,7.21049793673037
"2026-09",5.64862524878122,4.08576675214539,7.21148374541705
"2026-10",5.64868264120939,4.08485464919993,7.21251063321885
"2026-11",5.64867592546168,4.08388201245303,7.21346983847034
